,id,lat,lon,name,capacity,Distrito
87,869594384,37.4072386,-5.9853451,015 Calle Dr Marañón,15,4
88,869594388,37.4066763,-5.9930831,011 Calle Avicena,20,2
89,869594391,37.4090933,-5.9909552,010 Calle José Díaz,20,2
90,869594396,37.4068864,-5.9891263,014 Avenida Sánchez Pizjuán,40,2
91,869594399,37.4047516,-5.9866992,020 Calle San Juan de Ribera,15,1
92,869594406,37.4070186,-5.9826416,016 Calle de Manuel Villalobos,20,4
93,876137839,37.3867693,-5.9539833,215 Calle Zorzal,15,3
94,876138552,37.3875947,-5.9608451,165 Avenida de Andalucía,20,3
95,876193970,37.4038631,-5.9835274,024 Calle León XIII,15,2
96,876193973,37.3602749,-5.976717,028 Calle Rafael Salgado,18,1
97,876193981,37.3825989,-5.9711549,030 Avenida Eduardo Dato,20,2
98,876193985,37.4055781,-5.9814785,021 Calle Manuel Villalobos,20,2
99,876527262,37.4054796,-5.9303242,221 Avenida Alcalde Luis Uruñuela,15,3
100,876527263,37.3944959,-5.921065,228 Avenida de las Ciencias,15,3
101,876527267,37.3907156,-5.9591607,219 Calle de la A.D.A.,15,3
102,876527334,37.4051738,-5.9331764,222 Avenida Alcalde Luis Uruñuela,16,4
103,876527349,37.4038945,-5.9279828,230 Avenida de las Ciencias,14,1
104,876527352,37.3874563,-5.919972,229 Avenida Aeronáutica,15,2
105,876527373,37.3908025,-5.9196533,227 Avenida Alcalde Luis Uruñuela,12,1
106,876527377,37.4041166,-5.9373269,233 Avenida Alcalde Luis Uruñuela - Aprox. estación de Renfe,15,1
107,876527388,37.4019539,-5.9417776,231 Avenida Alcalde Luis Uruñuela,14,1
108,876527403,37.402591,-5.9405994,240 Avenida Alcalde Luis Uruñuela - Aprox. Cueva de la Pileta,15,3
109,876527406,37.3999402,-5.9251411,234 Calle Médicos Sin Frontera,14,4
110,877460579,37.4009895,-5.9884718,034 Plaza Pumarejo,15,4
111,877460606,37.4016053,-5.9837102,033 Calle León XIII,15,3
112,889003366,37.387051,-5.9748439,082 Calle Luis Montoto,17,4
113,889531693,37.3753464,-5.9527715,245 Calle Las Leandras,15,2
114,889531723,37.376105,-5.9552373,246 Puerto de los Azores,15,3
115,889531780,37.3780604,-5.9518787,244 Avenida Los Gavilanes,15,3
116,895677439,37.3930879,-5.9706,155 Avenida Kansas City,20,4
117,895677453,37.3961217,-5.9668118,154 Avenida Kansas City,20,2
118,895677458,37.4000437,-5.9619306,205 Avenida Kansas City,20,1
119,895677462,37.4093264,-5.9233566,237 Ciudad de Chiva,15,3
120,895677484,37.4029991,-5.9582151,206 Avenida Kansas City,15,2
121,895677647,37.4086892,-5.9279635,239 Calle Ciudad de Liria,15,2
122,895677806,37.4049803,-5.9358132,220 Avda. Alcalde Luis Uruñuela - Aprox. Centro Comercial Zona Este,30,3
123,895677827,37.3914176,-5.9727479,156 Avenida Kansas City,20,3
124,897251181,37.395428,-5.9640258,187 Calle Doctor Laffon,20,4
125,911709185,37.389342,-5.9995125,053 Calle Reyes Católicos,17,1
126,1118632190,37.4007128,-5.9265276,223 Calle Gema,15,3
127,1309940823,37.3809378,-5.9604646,174 Ronda Tamarguillo,20,3
128,1311751768,37.3881429,-5.9938475,075 Plaza San Francisco,20,2
129,1312257115,37.392217,-5.9898939,057 Plaza Cristo de Burgos,15,4
130,1313229294,37.3971581,-6.0062384,086 Camino de los Descubrimientos,40,4
131,1313569427,37.3964777,-5.9873931,047 Calle Hiniesta,15,4
132,1317877742,37.399968,-5.9562845,216 Calle Antioquía - Aprox. Avda de Pedro Romero,15,3
133,1343636301,37.3790534,-5.9899085,120 Glorieta San Diego,15,4
134,1360288717,37.3929973,-5.9868947,056 Plaza Jerónimo de Córdoba,20,4
135,1362113434,37.4041941,-6.0073507,067 Calle Leonardo Da Vinci,20,1
136,1362113441,37.3975341,-6.0105843,099 Calle Américo Vespucio,40,4
137,1362113466,37.409433,-6.0069599,088 Calle Américo Vespucio,20,2
138,1362113472,37.4122217,-6.0063862,095 Calle Américo Vespucio,20,1
139,1362163658,37.4158701,-6.0057752,123 Estadio Olímpico,20,1
140,1368695262,37.3827512,-5.9836676,102 Calle Juan de Mata Carriazo,20,2
141,1368695286,37.3874214,-5.9829997,084 Calle José María Moreno Galván,20,4
142,1372918822,37.3798544,-5.9746076,109 Avenida San Francisco Javier,15,1
143,1372918844,37.3731405,-5.9740229,178 Calle José Saramago,20,1
144,1380563765,37.4134313,-5.9824322,181 Ronda Urbana Norte - Aprox. C/ Doctor Fedriani,20,3
145,1380572090,37.4146363,-5.9738343,182 Calle Victoria Kent,15,2
146,1446037156,37.3871686,-5.9486212,213 Avenida de Andalucía - Aprox. Cochera de TUSSAM,20,4
147,1446037157,37.3804815,-5.9535723,243 Glorieta del Primero de Mayo - Aprox. C/ Carlos Marx,15,3
148,1487793047,37.3996367,-5.9777243,045 Carretera de Carmona,15,1
149,1542614822,37.3932438,-5.9838491,055 Calle de Maria Auxiliadora,15,4
150,1542614837,37.390463,-5.9980113,063 Calle San Pablo,20,4
151,1559099592,37.3837457,-5.9148102,258 Estaca de Vares,17,2
152,1589903069,37.4215199,-5.9715297,195 Calle Corral del Agua,20,2
153,1697713484,37.4247213,-5.9699087,196 Calle Estrella Canopus,20,2
154,1697728692,37.4185712,-5.9732617,194 Calle Parque de Doñana,20,1
155,1750991853,37.3851694,-6.0036808,218 Plaza del Altozano,14,3
156,1751007318,37.3833998,-6.0082126,094 Plaza del Zurraque,18,3
157,1751007333,37.3869518,-6.0076608,091 Calle Procurador,20,2
158,1800201559,37.3688783,-5.9813853,158 Avenida Cardenal Bueno Monreal,20,3
159,1811037464,37.3860346,-5.9100839,256 Miguel Montoro,30,1
160,1811037465,37.3859534,-5.9137797,255 Pero Mingo,30,3
161,1883917292,37.3841827,-5.9798343,104 Avenida Eduardo Dato,20,3
162,1883917305,37.3842949,-5.9824304,103 Avenida Eduardo Dato,20,1
163,1905508092,37.3937233,-5.9818532,066 Calle Arroyo,20,4
164,1925647394,37.3647499,-5.9814522,131 Calle Tabladilla,20,2
165,1942572125,37.3961269,-5.9588167,203 Calle Tesalónica,20,4
166,1958105615,37.3938599,-5.9623474,217 Calle de la A.D.A,15,4
167,1960312763,37.3807308,-6.0092094,113 Plaza San Martín de Porres,15,1
168,1968379213,37.3730403,-5.9691616,177 Avenida Alcalde Juan Fernández,17,1
169,2059734836,37.3801273,-5.9971188,118 Plaza de Cuba,20,1
170,2199781233,37.3687499,-5.9572158,190 Avenida Hytasa,15,4
171,2199781316,37.3723655,-5.9632292,188 Avenida Hytasa,20,1
172,2263176519,37.3846992,-5.9725875,107 Calle Luis Morales,30,4
173,2263176520,37.382817,-5.9735307,108 Avenida Eduardo Dato,15,1
174,2316134212,37.3806956,-5.9869575,110 Ciudad de Ronda,20,1
175,2362825420,37.3813994,-5.9867247,101 Prado de San Sebastián,40,3
176,2409134453,37.3957014,-5.9737119,152 CALLE SAMANIEGO,20,3
177,2414365404,37.3636194,-5.9847852,132 Calle Paez de Rivera,20,2
178,2414366811,37.3740394,-6.0041982,133 Avenida Santa Fe,20,2
179,2414370957,37.3747704,-5.9985362,134 Calle Virgen de Luján,24,3
180,2414376127,37.3745382,-5.9947455,135 Calle Virgen de Luján,17,1
181,2414378485,37.3731194,-5.9976102,136 Calle Asunción,20,4
182,2414386515,37.3736779,-5.9854767,137 Avenida de la Borbolla,20,1
183,2414393131,37.3760219,-5.9790768,138 Calle Ramón Carande,20,2
184,2414394473,37.3750412,-5.9757977,139 Avenida Diego Martínez Barrio,15,1
185,2414396532,37.3723704,-5.9773621,140 Calle Felipe II,16,3
186,2414399021,37.371606,-5.9818494,141 Calle Felipe II,20,3
187,2414400806,37.3716758,-5.9975514,142 Calle Ramón de Carranza,18,3
188,2414401888,37.3715555,-6.0032632,143 Calle Ramón de Carranza,18,3
189,2414402577,37.369057,-5.9879693,144 Avenida de la Palmera,20,2
190,2414405508,37.3602332,-5.9863182,145 Avenida Reina Mercedes,20,2
191,2414405509,37.3601006,-5.986313,146 Avenida Reina Mercedes,20,2
192,2414408207,37.3986121,-5.973625,148 Calle Tharsis,20,3
193,2414409325,37.3978221,-5.9760843,149 Calle Arroyo,20,4
194,2414415016,37.3967485,-5.9786342,150 Calle San Juan Bosco,20,2
195,2420239421,37.4004879,-5.9983869,036 Calle San Vicente,20,3
196,2420239422,37.3987216,-5.9895023,042 Plaza Cronista,15,3
197,2420239423,37.3712795,-5.9891934,059 Avenida de la Palmera,18,4
198,2420239424,37.3912974,-5.9881754,065 Calle Alhóndiga,14,3
199,2420239425,37.3907943,-5.982764,072 Calle Amador de los Ríos,20,4
200,2420239426,37.3812308,-5.9935552,090 Calle Roma,20,2
201,2420239427,37.3854144,-6.0111606,092 Ronda de Triana,20,2
202,2420239428,37.3831234,-6.0108763,093 Ronda de Triana,15,1
203,2420239429,37.3815146,-5.9955663,097 Paseo de Cristóbal Colón,20,3
204,2420239430,37.3817511,-5.9933071,098 Avenida de Roma,30,2
205,2420239431,37.3589104,-5.9806202,105 Calle Francisco Murillo,19,4
206,2420239432,37.3801188,-6.0043502,112 Avenida Esperanza de Triana,20,3
207,2420239434,37.3777579,-6.0070758,115 Calle López de Gomara,20,4
208,2420239435,37.3614304,-5.9816032,116 Calle Manuel Siurot,20,1
209,2420239436,37.3773761,-5.9918804,119 Avenida de Chile,20,4
210,2420239437,37.3785777,-5.9784022,122 Calle Enramadilla,20,1
211,2420239438,37.3777629,-5.9773334,124 Calle Enramadilla,20,2
212,2490808701,37.3946087,-5.9799727,151 Calle Urquiza,20,4
213,2490850936,37.3629714,-5.9862622,153 Avenida Reina Mercedes,27,4
214,2491178905,37.3697994,-5.9781947,157 Avenida Cardenal Bueno Monreal,20,2
215,2496300111,37.4000005,-5.9691031,161 Avenida Alcalde Manuel del Valle,20,1
216,2708613136,37.3790204,-5.9688772,170 Plaza Antonio Aparicio Herrero,18,4
217,2783997551,37.3885079,-5.959401,166 Ronda del Tamarguillo,13,2
218,2784043556,37.376576,-5.9727121,169 Avenida Ramón y Cajal,20,2
219,2784043566,37.3670886,-5.971157,172 Ronda Tamarguillo,19,2
220,2784043603,37.3695198,-5.9686169,173 Ronda Tamarguillo,20,4
221,2784072415,37.377487,-5.9665541,176 Avenida de la Ciudad Jardin,20,2
222,2784072416,37.4110149,-5.971678,183 Alcalde Manuel del Valle,15,4
223,2784083444,37.4086593,-5.9731965,186 Calle Orfebre Dominguez Vázquez,20,1
224,2784083447,37.3700534,-5.9594961,189 Avenida Hytasa,20,2
225,2784083449,37.3741964,-6.0088305,191 Glorieta Carlos Cano,20,3
226,2784083452,37.3783344,-6.0115563,192 Avenida de Alvar Núñez,19,2
227,2784083454,37.3811114,-6.0120053,193 Avenida de Coria,20,3
228,2923819815,37.4189136,-5.9632171,200 Camino de los Toros,20,1
229,2923830557,37.4114666,-5.9667631,202 Avenida Mujer Trabajadora,20,1
230,2923830558,37.3976897,-5.9616014,204 Calle Doctor Laffon,15,4
231,2923860807,37.3871628,-5.9483902,214 Avenida de Andalucía - Aprox. Entrada TUSSAM,20,3
232,2923875773,37.3970135,-5.923757,224 Avenida de las Ciencias,15,1
233,2923875774,37.3973905,-5.918777,225 Calle Flor de Retama,15,4
234,2940255732,37.4028629,-5.9217537,226 Avenida Doctor Emilio Lemos,15,1
235,2940272341,37.4039396,-5.939739,232 Avenida Alcalde Luis Uruñuela,15,3
236,2940272342,37.4117358,-5.9298591,235 Ciudad de Chiva,15,2
237,2940297649,37.4102171,-5.9264224,236 Ciudad de Chiva,15,3
238,2940297650,37.4081326,-5.919993,238 Ciudad de Chiva,15,4
239,2940324169,37.3888532,-5.9962357,241 Plaza Nueva,20,4
240,2940324170,37.38889,-5.9962396,242 Plaza Nueva,20,1
241,2940331473,37.4247584,-5.9848237,249 Calle Navarra,15,4
242,2940334917,37.3843494,-5.9653784,251 Avda. Cruz Campo,15,1
243,2940339724,37.3837695,-5.9089219,257 Torres Albarracin,20,1
244,2940339725,37.3673184,-5.9541171,259 Ocho de Marzo,30,1
245,2940339726,37.378801,-5.9456668,260 Revoltosa,20,1
246,2940720305,37.3902925,-5.9799642,068 Calle Juan Antonio Cabestany,15,3
247,4496529892,37.3855073,-5.9907691,No Disponible,,2
248,5587757035,37.3757344,-5.9991689,(128) Calle Virgen de Loreto,18,3
249,6316717175,37.3896128,-5.9857063,información tourística,,4
250,6539981885,37.4007675,-5.9932289,No Disponible,,4
251,7367073526,37.4131441,-5.9853665,No Disponible,,4
252,10016118718,37.3889056,-5.9956309,No Disponible,,1
253,10016123118,37.3888671,-5.9961347,No Disponible,,3
254,10016238117,37.3815906,-5.9892334,No Disponible,,3
